gene,full_log2FoldChange,full_pvalue,full_padj,eligible_fold_count,estimable_fold_count,direction_consistency_fraction,median_lodo_log2FoldChange,minimum_lodo_log2FoldChange,maximum_lodo_log2FoldChange,lodo_log2FoldChange_iqr,nominal_significant_fold_fraction,fdr_significant_fold_fraction,largest_effect_change_omitted_datasets,conserved,exclusion_reason
AC004832.6,-0.262323206793484,0.283024891911289,0.344721673255502,10,10,0.8,-0.2721223414864195,-1.42778801399454,0.537941921213415,0.26323422880816993,0.1,0.1,DISCO_ref,False,not_significant_in_full_unadjusted_analysis;omitted_dataset_direction_reversal
AC004846.2,-1.1441454027784,4.15261266443713e-05,0.0001118737458382,10,9,1.0,-1.14249325552381,-2.231389178118,-0.783500574591316,0.07189593918362003,1.0,1.0,DISCO_ref,True,
AC004884.2,-2.7391528473827,5.58074025782675e-21,1.3722829700023998e-19,10,9,1.0,-2.75250664823706,-3.17257582934559,-2.40971110691278,0.03160511159103985,1.0,1.0,DISCO_ref,True,
AC004889.1,-2.03214597860671,5.99681605860814e-18,1.05612844978122e-16,10,10,1.0,-1.94915744449908,-3.37590695111383,-0.544931438647926,0.21401804175680494,0.9,0.9,MMRF_ImmuneAtlas,True,
AC004922.1,3.48604333575578,0.0009171017759963,0.0019771925385727,10,8,1.0,3.53197303178477,3.03022613360085,3.67650187870293,0.21181226721426238,1.0,1.0,MMRF_ImmuneAtlas,True,
AC004951.1,-0.529221103761318,0.0035006657049284,0.0067538750258298,10,10,0.9,-0.5028378020238475,-2.1247338325635,0.181196189891049,0.20821209559959503,0.6,0.6,DISCO_ref,False,omitted_dataset_direction_reversal
AC005070.3,-0.146458168284572,0.3559834891168,0.419946125541045,10,10,0.7,-0.13570553807629399,-0.922862061339836,0.162228580417527,0.16613541651722796,0.2,0.1,DISCO_ref,False,not_significant_in_full_unadjusted_analysis;direction_unstable;median_effect_below_threshold;omitted_dataset_direction_reversal
AC005154.6,2.46510303001568,0.50289513500409,0.56439016981191,10,9,1.0,2.58934844070429,1.95506460754585,2.68425760332948,0.16990159438537988,0.0,0.0,MMRF_ImmuneAtlas,False,not_significant_in_full_unadjusted_analysis
AC005224.2,-3.58393720920883,8.19582630309242e-45,2.37360236211227e-42,10,10,1.0,-3.5348737174574003,-5.28305874614636,-1.30420433911736,0.3201556031472874,0.9,0.9,MMRF_ImmuneAtlas,True,
AC005224.3,1.17711342530349,2.2910798159238e-07,9.02751253243443e-07,10,10,0.9,1.201657916535045,-1.61184455547813,1.4581080345322,0.17394764644992744,0.9,0.9,DISCO_ref,False,omitted_dataset_direction_reversal
AC005261.3,3.48466695251671,5.11421810363989e-05,0.0001357455141256,10,9,1.0,3.51471108432488,3.04453484139977,3.69696314124109,0.19838702149401,1.0,1.0,MMRF_ImmuneAtlas,True,
AC005332.3,-2.09261128771852,4.13154003075792e-15,4.9285396293686604e-14,10,9,1.0,-2.1014235964248,-3.24869224900922,-1.74153630648059,0.12713781821225978,1.0,1.0,DISCO_ref,True,
AC005332.5,2.39662894452307,1.1684666252382799e-30,7.42831282605752e-29,10,10,1.0,2.39180647126905,1.42883104921122,2.62899060571488,0.37072207987310746,1.0,1.0,MMRF_ImmuneAtlas,True,
AC005534.1,-1.84635048248405,1.3823441635268498e-11,9.69873502619851e-11,10,9,1.0,-1.83297631627966,-2.23626922632656,-1.46678925995312,0.08068493118107001,1.0,1.0,GSE194122_BMMC,True,
AC005695.2,3.3791074169893,2.83837661946762e-07,1.10177945097336e-06,10,9,1.0,3.39859651143742,2.82840231614808,3.6192103273233,0.1929760168445096,1.0,1.0,DISCO_ref,True,
AC005695.3,-0.264663590790111,0.411981736179276,0.475041095045911,10,8,0.875,-0.23141906014213798,-1.34829164158308,0.0413165133138362,0.11477632329585477,0.125,0.125,DISCO_ref,False,not_significant_in_full_unadjusted_analysis;median_effect_below_threshold;omitted_dataset_direction_reversal
AC005726.5,-0.888656502900429,0.0011745415321302,0.002475893654264,10,10,0.9,-0.7474450783511015,-3.76442252631665,1.95841985687871,0.25530862921878883,0.9,0.9,DISCO_ref,False,omitted_dataset_direction_reversal
AC005786.3,2.0386832368291,0.0177370602813468,0.0295693301076626,10,8,1.0,2.11490205835912,1.16564609346189,2.23700228770337,0.13110088031960476,0.875,0.875,MMRF_ImmuneAtlas,True,
AC005837.1,-2.85214593921161,2.7880427539293403e-31,1.91237722055706e-29,10,9,1.0,-2.85923837558312,-4.10310951492109,-2.44449918386496,0.14423023362755982,1.0,1.0,DISCO_ref,True,
AC005838.2,-1.14700798793512,1.0144200410151e-08,4.91465768941607e-08,10,10,0.9,-1.10170757299538,-2.88886600634779,0.661520797466476,0.21614368271858964,0.9,0.9,MMRF_ImmuneAtlas,False,omitted_dataset_direction_reversal
AC005840.4,-1.21768994844491,3.46694087873912e-05,9.42292116833527e-05,10,9,1.0,-1.22098474524644,-1.8960494619828,-0.874031050509518,0.07728246524776994,1.0,1.0,DISCO_ref,True,
AC005842.1,-1.01552175626775,0.0011904622791827,0.0025064135142889,10,9,1.0,-0.98141226375874,-1.49570721857304,-0.687970184585822,0.1853203842523229,1.0,0.8888888888888888,DISCO_ref,True,
AC005899.6,-1.62339749694283,1.5368622755374e-08,7.26352043733135e-08,10,9,1.0,-1.582307321029,-2.86274020343252,-1.28109769847216,0.10796157412115992,1.0,1.0,DISCO_ref,True,
AC005899.7,-1.16434969113558,6.70001258716068e-05,0.0001746358280843,10,9,1.0,-1.16239416884444,-2.1344013792194,-0.816325925036547,0.06717706935306,1.0,1.0,DISCO_ref,True,
AC006027.1,-1.3786522704501,7.61355991081622e-06,2.3088707280445e-05,10,8,1.0,-1.3963018852782398,-1.76907195754579,-1.07446155248171,0.04966150025685501,1.0,1.0,DISCO_ref,True,
AC006059.1,1.34393073388219,7.45704317365648e-07,2.71653152091343e-06,10,10,0.9,1.3947148109631402,-0.398016939300405,1.5889353552272,0.1921329486114749,0.8,0.8,GSE194122_BMMC,False,omitted_dataset_direction_reversal
AC006064.2,-0.945822880804167,7.70065921449656e-05,0.0001985338105102,10,10,1.0,-0.936090005260661,-1.48180390515877,-0.0487044910465199,0.17769934748594174,0.9,0.9,MMRF_ImmuneAtlas,True,
AC006299.1,0.152688008120269,0.520281284821774,0.580155366369178,10,10,0.9,0.21470924168892852,-0.990561150051673,0.860996940698421,0.1816167602266378,0.2,0.1,GSE194122_BMMC,False,not_significant_in_full_unadjusted_analysis;median_effect_below_threshold;omitted_dataset_direction_reversal
