gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	signed_statistic	significant	direction
BCL11A	2.92214129894378	1.79919745801173	0.397565015349048	4.52554271263557	6.02407126938471e-06	1.86039594356057e-05	4.52554271263557	True	higher_in_group_a
BCL11B	336.26682131924	-1.12938093489863	0.108817925573207	-10.3786295221998	3.1019603450248803e-25	1.2535286262492e-23	-10.3786295221998	True	higher_in_group_b
BCL2	77.3350986206737	0.166852609501559	0.123619393477302	1.34972842697367	0.177103110415421	0.228467833356988	1.34972842697367	False	higher_in_group_a
BCL2A1	34.0472070297026	0.409668344673264	0.107856843080902	3.79826011007924	0.0001457153641653	0.0003589859137022	3.79826011007924	True	higher_in_group_a
BCL2L1	28.6851579239008	0.210715508540523	0.0916645591938825	2.29876748869574	0.0215181458793398	0.0351973939344206	2.29876748869574	True	higher_in_group_a
BCL2L15	1.83655529700927	-0.958794390846214	0.241188935948865	-3.97528347257807	7.02954753661322e-05	0.0001819514960693	-3.97528347257807	True	higher_in_group_b
BCL6	12.5454711134148	0.747051809722562	0.195371170511422	3.8237566359817	0.0001314336499687	0.0003262683891843	3.8237566359817	True	higher_in_group_a
BCL7A	3.35994288409409	0.774057857081828	0.244348613155265	3.16784223608411	0.00153574834472	0.0031832429904673	3.16784223608411	True	higher_in_group_a
BCL9L	94.7174985126885	-0.606216600770655	0.0828708646989514	-7.31519579254886	2.57006380121092e-13	2.35461205548551e-12	-7.31519579254886	True	higher_in_group_b
BCORL1	3.99594721480955	0.133722159803202	0.153545053959037	0.870898517114572	0.38380956654957	0.44730589546678	0.870898517114572	False	higher_in_group_a
BCR	42.9589885069237	0.377232575728368	0.101934126403174	3.70074860146761	0.0002149643647134	0.0005145129629252	3.70074860146761	True	higher_in_group_a
BEND7	2.60510929733006	1.40268368753795	0.40871893052402	3.4319029112245	0.0005993620871627	0.0013298175893891	3.4319029112245	True	higher_in_group_a
BEST1	8.82746486324324	1.37057132257927	0.206974435477707	6.62193531010691	3.54526213669396e-11	2.33646669008667e-10	6.62193531010691	True	higher_in_group_a
BEX1	0.299506423772604	2.01402658430573	0.693138372821964	2.90566308730831	0.0036647581298737	0.0070443894288465	2.90566308730831	True	higher_in_group_a
BEX3	3.43062466848265	1.69086611614155	0.278744636101385	6.06600413837756	1.3113175262474802e-09	7.12072735867509e-09	6.06600413837756	True	higher_in_group_a
BFSP1	5.94039335167712	0.131213983285614	0.134096842559837	0.978501661790162	0.32782626983452	0.392142805104945	0.978501661790162	False	higher_in_group_a
BGLAP	1.82958575907621	-1.33186681495682	0.23855346894639	-5.58309556695705	2.36274824969585e-08	1.08424354099159e-07	-5.58309556695705	True	higher_in_group_b
BHLHE40	143.771518328705	0.263221145767908	0.148533734394534	1.77213039745396	0.076372914090177	0.109047384593835	1.77213039745396	False	higher_in_group_a
BHLHE40-AS1	3.76931127139366	0.147103961537299	0.171179925243461	0.859352878721498	0.39014585862288	0.453372795586508	0.859352878721498	False	higher_in_group_a
BHLHE41	0.440205437251786	0.71678088749931	0.624556999321661	1.14766288469718	0.25110775873903	0.310342519276093	1.14766288469718	False	higher_in_group_a
BICDL1	20.784991207692	-0.623807605861427	0.148203025924121	-4.20914216812829	2.56342063963553e-05	7.16136752112541e-05	-4.20914216812829	True	higher_in_group_b
BIK	1.45546544650179	1.31373247473988	0.229795999694358	5.71695101954437	1.08452360847765e-08	5.23483478795742e-08	5.71695101954437	True	higher_in_group_a
BIRC3	43.7314033780591	-0.0188994459466143	0.0943734121581376	-0.200262399275606	0.841275367869716	0.870670735101217	-0.200262399275606	False	higher_in_group_b
BIRC5	2.60713437421047	2.68115549241529	0.373848343866208	7.17177309035991	7.40325779269107e-13	6.2957883969491895e-12	7.17177309035991	True	higher_in_group_a
BLK	2.30478392687868	0.209924903122094	0.365652321645879	0.574110680269107	0.565892906473501	0.624696807121813	0.574110680269107	False	higher_in_group_a
BLNK	0.83218010159299	2.3078116060167	0.522155602903143	4.41977753984722	9.88025566530139e-06	2.92646436268274e-05	4.41977753984722	True	higher_in_group_a
BLVRB	34.4566672240766	1.8938881160172	0.261309743319845	7.24767508457987	4.23986198722699e-13	3.7335136046308e-12	7.24767508457987	True	higher_in_group_a
BMF	2.37757288148347	0.232357593165956	0.176529375498166	1.31625454692876	0.188088621123184	0.240614964887156	1.31625454692876	False	higher_in_group_a
BMP2K	8.10264247114709	1.12962631061958	0.166620056853752	6.77965385410405	1.2046415153161599e-11	8.55558068030402e-11	6.77965385410405	True	higher_in_group_a
BMP6	0.212760436271974	0.674765024075767	0.943139952038073	0.715445276830482	0.474333943707789	0.535959339719124	0.715445276830482	False	higher_in_group_a
BMP8A	0.73826735265206	-0.858481135668529	0.330271658382751	-2.59931820935612	0.0093409139544899	0.0166021767626172	-2.59931820935612	True	higher_in_group_b
BMP8B	1.30119107857648	0.551345645870031	0.255374470736858	2.15896931388317	0.0308525476748354	0.0486345119531046	2.15896931388317	True	higher_in_group_a
BMPR1A	8.36590625593208	0.913135520206265	0.140222897180038	6.51202862421142	7.4142585741512e-11	4.75406272411442e-10	6.51202862421142	True	higher_in_group_a
BNC2	3.66418906497121	1.37315142499821	0.235421740409528	5.83272990255506	5.45277966420509e-09	2.7332058066828e-08	5.83272990255506	True	higher_in_group_a
BNIP3L	64.8606006011782	0.533672357352168	0.0853236994126133	6.25467907540441	3.9833416441679006e-10	2.31237861815671e-09	6.25467907540441	True	higher_in_group_a
BNIPL	0.913655592420355	-0.460947540470697	0.259308002816919	-1.77760630394482	0.0754685377197806	0.107877816171457	-1.77760630394482	False	higher_in_group_b
BOK	2.63218816069408	1.10182587622616	0.343285173831349	3.2096518003643	0.0013289585308616	0.0027766977240006	3.2096518003643	True	higher_in_group_a
BPGM	36.1488203696981	0.320207440771508	0.0982294049223794	3.25979212665021	0.001114938968683	0.0023607542013586	3.25979212665021	True	higher_in_group_a
BPI	0.529668895888696	2.58168130405219	0.644995329174222	4.00263565839691	6.2640728637158e-05	0.0001640935268268	4.00263565839691	True	higher_in_group_a
BRCA1	6.01749244517309	0.391686153428251	0.176830675996946	2.21503509625794	0.0267576556661667	0.0428533514555229	2.21503509625794	True	higher_in_group_a
