gene,full_log2FoldChange,full_pvalue,full_padj,eligible_fold_count,estimable_fold_count,direction_consistency_fraction,median_lodo_log2FoldChange,minimum_lodo_log2FoldChange,maximum_lodo_log2FoldChange,lodo_log2FoldChange_iqr,nominal_significant_fold_fraction,fdr_significant_fold_fraction,largest_effect_change_omitted_datasets,conserved,exclusion_reason
AC008507.2,-2.13617538780021,6.85955729901424e-11,4.40923208381766e-10,10,9,1.0,-2.16761932072056,-2.3075698981658,-1.87650747336408,0.06915555903202986,1.0,1.0,NBM_66k,True,
AC008555.1,-1.15484791434718,0.000137873477123,0.0003407939479575,10,8,1.0,-1.163340447692345,-1.66384798496536,-0.821919086450694,0.05562465497261271,1.0,1.0,DISCO_ref,True,
AC008555.5,6.68900106735851,7.12285814456384e-17,1.05787633924818e-15,10,10,1.0,6.701295077834975,5.80308765645857,6.88821645804832,0.2619346715388531,1.0,1.0,DISCO_ref,True,
AC008569.1,3.0985041521611,2.34901734465198e-11,1.58825258335548e-10,10,10,1.0,3.13248170763848,0.361221936583607,3.36359854921757,0.5289044809464274,0.9,0.9,GSE194122_BMMC,True,
AC008676.1,-3.27875030674851,2.3258840019549204e-31,1.61664444029213e-29,10,9,1.0,-3.28162606252801,-4.12425780908118,-2.92830183014931,0.06095353962494032,1.0,1.0,DISCO_ref,True,
AC008735.2,-0.530730203738636,0.0085187962519537,0.0152396996779117,10,10,1.0,-0.5386589942861431,-1.25593168997442,-0.0883837569891239,0.40493074734557266,0.6,0.6,GSE194122_BMMC,True,
AC008736.1,-0.868146867041509,0.0011215607796449,0.0023728475423251,10,9,1.0,-0.807205641439538,-2.58075868686114,-0.498671717727656,0.11515556556018791,0.8888888888888888,0.8888888888888888,DISCO_ref,True,
AC008750.7,2.31703005033307,8.09119054554899e-09,3.97543603335974e-08,10,10,1.0,2.424124434494035,1.16693671141054,2.6577937399979,0.20489198270565723,1.0,1.0,GSE194122_BMMC,True,
AC008764.8,-1.24735151842733,1.55362289379993e-17,2.56298612195538e-16,10,10,1.0,-1.264959440379265,-1.93411421901192,-0.528583083351704,0.2032185599515275,0.9,0.9,MMRF_ImmuneAtlas,True,
AC008781.2,-1.71875024546604,2.20364582506044e-08,1.01660227310089e-07,10,9,1.0,-1.70288553359687,-2.47217026313506,-1.40748346555037,0.03235682011632002,1.0,1.0,DISCO_ref,True,
AC008875.1,-1.16828524705112,9.72373554457652e-05,0.0002470264785276,10,9,1.0,-1.17123506968919,-1.71590754151696,-0.828177139366782,0.15237349933296018,1.0,1.0,DISCO_ref,True,
AC008892.1,1.60399913343472,0.0008797097706006,0.0019005085097973,10,10,1.0,1.775201589410915,0.0396022646065275,2.19573215455257,0.28292277291989,0.8,0.8,GSE194122_BMMC,True,
AC008937.2,2.64883898310535,0.000554592013257,0.0012376233583513,10,9,1.0,2.76715154775918,2.05773176034286,2.89714167554468,0.18861179131343997,0.8888888888888888,0.8888888888888888,MMRF_ImmuneAtlas,True,
AC009060.1,-3.31188847047036,9.13818359402674e-36,9.721908382788029e-34,10,9,1.0,-3.25298144342532,-4.43313476002726,-2.96520893622505,0.15343529816020007,1.0,1.0,GSE194122_BMMC,True,
AC009088.1,-1.90329117780065,8.160665372625269e-11,5.21982191257614e-10,10,9,1.0,-1.91203871265005,-2.64121403469809,-1.57098763526623,0.17281489172089004,1.0,1.0,DISCO_ref,True,
AC009093.1,-3.6053955607924,2.11374331610407e-36,2.56254509461639e-34,10,10,1.0,-3.630036574269535,-3.92933267718647,-2.26192545107733,0.07542136132175958,1.0,0.9,MMRF_ImmuneAtlas,True,
AC009093.6,-1.00335474395226,0.0011700039406475,0.0024673262712765,10,8,1.0,-1.0000723880921885,-1.69131964121139,-0.681367775734464,0.07707685876060388,1.0,0.875,DISCO_ref,True,
