program_id	feature_set_id	cell_state	condition_a	condition_b	contrast	contrast_direction	feature_direction	statistic_orientation	signed_statistic_name	source_capability_id	source_cache_key	database	organism	tf	number_of_eligible_genes	total_regulon_target_count	number_of_overlapping_targets	number_of_unique_signed_target_weights	target_weight_variance	model_predictor_weight_variance	degrees_of_freedom	estimable	estimability_status	exclusion_reason	overlapping_target_genes	resource_hash	activity_score	fitted_coefficient	coefficient_standard_error	p_value	correlation	model_statistic_name	ulm_implementation_mode	adjusted_p_value	significant	activity_direction
GZMB CD8 T cell:NBM-NDMM	exploratory_lodo_conserved_features	GZMB CD8 T cell	NBM	NDMM	NBM − NDMM	group_a_minus_group_b	signed_statistic	condition_a_minus_condition_b	full_unadjusted_DESeq2_log2FoldChange	CAP-DESEQ-003	2564b7e31a39edfe2f0805880813067806936b0c00ec9e8f96eda914cd590f04	DoRothEA	human	NFIC	2395	28	6	1	0	0.0024999869192815025	2393	True	estimable		COL18A1;COL1A1;GUCY1B1;JUN;MYC;POLE2	2e9de16bb6dc217df06bc044e75103eb9cbf46844ba9ae64ba298996355f4f76	0.75207835540234069	0.52469882087364672	0.69766509979262425	0.45207790477038989	0.015372355547073778	slope_t_statistic	documented_decoupler_v2_ulm_formula	0.69371857146168991	False	not_significant
GZMB CD8 T cell:NBM-NDMM	exploratory_lodo_conserved_features	GZMB CD8 T cell	NBM	NDMM	NBM − NDMM	group_a_minus_group_b	signed_statistic	condition_a_minus_condition_b	full_unadjusted_DESeq2_log2FoldChange	CAP-DESEQ-003	2564b7e31a39edfe2f0805880813067806936b0c00ec9e8f96eda914cd590f04	DoRothEA	human	PPARG	2395	41	11	2	0.87272727272727268	0.0045904601447948343	2393	True	estimable		CCND1;CD36;CD83;CDKN1A;CPT1B;CYP27A1;GK;LIPE;MYC;PTGS2;RETN	2e9de16bb6dc217df06bc044e75103eb9cbf46844ba9ae64ba298996355f4f76	0.75725712521876565	0.38987951319185937	0.51485750375637107	0.44897038646760934	0.015478183461241517	slope_t_statistic	documented_decoupler_v2_ulm_formula	0.69371857146168991	False	not_significant
GZMB CD8 T cell:NBM-NDMM	exploratory_lodo_conserved_features	GZMB CD8 T cell	NBM	NDMM	NBM − NDMM	group_a_minus_group_b	signed_statistic	condition_a_minus_condition_b	full_unadjusted_DESeq2_log2FoldChange	CAP-DESEQ-003	2564b7e31a39edfe2f0805880813067806936b0c00ec9e8f96eda914cd590f04	DoRothEA	human	BHLHE40	2395	58	12	1	0	0.0049874163488052093	2393	True	estimable		ACTB;CD83;CDKN1A;CREB5;EGLN3;FKBP5;GFOD1;HES1;JMJD1C;SLC16A3;SMAD7;TNFSF9	2e9de16bb6dc217df06bc044e75103eb9cbf46844ba9ae64ba298996355f4f76	-0.73878572089886918	-0.36492057027904407	0.49394643122643306	0.46010957652185935	-0.015100718838756182	slope_t_statistic	documented_decoupler_v2_ulm_formula	0.6944246386394729	False	not_significant
GZMB CD8 T cell:NBM-NDMM	exploratory_lodo_conserved_features	GZMB CD8 T cell	NBM	NDMM	NBM − NDMM	group_a_minus_group_b	signed_statistic	condition_a_minus_condition_b	full_unadjusted_DESeq2_log2FoldChange	CAP-DESEQ-003	2564b7e31a39edfe2f0805880813067806936b0c00ec9e8f96eda914cd590f04	DoRothEA	human	FOXJ2	2395	37	6	1	0	0.0024999869192815025	2393	True	estimable		ERMN;FHL1;MAK;SAMSN1;SELENOP;ZBTB20	2e9de16bb6dc217df06bc044e75103eb9cbf46844ba9ae64ba298996355f4f76	0.71935177591574062	0.50187167700047242	0.69767211787527139	0.47199444379212285	0.014703577654342161	slope_t_statistic	documented_decoupler_v2_ulm_formula	0.70337143882780206	False	not_significant
GZMB CD8 T cell:NBM-NDMM	exploratory_lodo_conserved_features	GZMB CD8 T cell	NBM	NDMM	NBM − NDMM	group_a_minus_group_b	signed_statistic	condition_a_minus_condition_b	full_unadjusted_DESeq2_log2FoldChange	CAP-DESEQ-003	2564b7e31a39edfe2f0805880813067806936b0c00ec9e8f96eda914cd590f04	DoRothEA	human	HOXA9	2395	22	7	1	0	0.0029154305387686331	2393	True	estimable		AGTPBP1;ARHGAP15;GSAP;HECW2;NAV2;RALGAPA2;RGS13	2e9de16bb6dc217df06bc044e75103eb9cbf46844ba9ae64ba298996355f4f76	0.71501772146198772	0.46194072918035961	0.64605493726202368	0.47466784215373148	0.014615008396145598	slope_t_statistic	documented_decoupler_v2_ulm_formula	0.70337143882780206	False	not_significant
GZMB CD8 T cell:NBM-NDMM	exploratory_lodo_conserved_features	GZMB CD8 T cell	NBM	NDMM	NBM − NDMM	group_a_minus_group_b	signed_statistic	condition_a_minus_condition_b	full_unadjusted_DESeq2_log2FoldChange	CAP-DESEQ-003	2564b7e31a39edfe2f0805880813067806936b0c00ec9e8f96eda914cd590f04	DoRothEA	human	ELK1	2395	31	7	1	0	0.0029154305387686331	2393	True	estimable		ACTA2;CITED2;FOSL1;FUT4;JUNB;TAGLN;TNF	2e9de16bb6dc217df06bc044e75103eb9cbf46844ba9ae64ba298996355f4f76	-0.69768557206828408	-0.45074551401938268	0.64605824179959848	0.48544163367283644	-0.014260811086320485	slope_t_statistic	documented_decoupler_v2_ulm_formula	0.70649094900600307	False	not_significant
GZMB CD8 T cell:NBM-NDMM	exploratory_lodo_conserved_features	GZMB CD8 T cell	NBM	NDMM	NBM − NDMM	group_a_minus_group_b	signed_statistic	condition_a_minus_condition_b	full_unadjusted_DESeq2_log2FoldChange	CAP-DESEQ-003	2564b7e31a39edfe2f0805880813067806936b0c00ec9e8f96eda914cd590f04	DoRothEA	human	KLF4	2395	12	5	2	1.2000000000000002	0.0020883803105536981	2393	True	estimable		BIRC5;CCND1;CDH1;CDKN1A;VDR	2e9de16bb6dc217df06bc044e75103eb9cbf46844ba9ae64ba298996355f4f76	-0.6987426774981903	-0.53337832265166563	0.76334012481017666	0.48478075823910527	-0.014282414095780724	slope_t_statistic	documented_decoupler_v2_ulm_formula	0.70649094900600307	False	not_significant
GZMB CD8 T cell:NBM-NDMM	exploratory_lodo_conserved_features	GZMB CD8 T cell	NBM	NDMM	NBM − NDMM	group_a_minus_group_b	signed_statistic	condition_a_minus_condition_b	full_unadjusted_DESeq2_log2FoldChange	CAP-DESEQ-003	2564b7e31a39edfe2f0805880813067806936b0c00ec9e8f96eda914cd590f04	DoRothEA	human	ZBTB7A	2395	90	8	1	0	0.0033305253390958265	2393	True	estimable		ACTB;ADAM8;BCL9L;FBXL16;KAZN;PLXNB2;SLC19A1;SLC22A23	2e9de16bb6dc217df06bc044e75103eb9cbf46844ba9ae64ba298996355f4f76	-0.66809151248123055	-0.40383715239543233	0.60446382696229473	0.50413960951768355	-0.013656018808688188	slope_t_statistic	documented_decoupler_v2_ulm_formula	0.72721023319807443	False	not_significant
GZMB CD8 T cell:NBM-NDMM	exploratory_lodo_conserved_features	GZMB CD8 T cell	NBM	NDMM	NBM − NDMM	group_a_minus_group_b	signed_statistic	condition_a_minus_condition_b	full_unadjusted_DESeq2_log2FoldChange	CAP-DESEQ-003	2564b7e31a39edfe2f0805880813067806936b0c00ec9e8f96eda914cd590f04	DoRothEA	human	HOXB13	2395	46	10	2	0.40000000000000002	0.004165947227149293	2393	True	estimable		ANK3;BNC2;DLG2;DOCK4;DOCK9;ERG;MAP1B;SVIL;TCF4;THRB	2e9de16bb6dc217df06bc044e75103eb9cbf46844ba9ae64ba298996355f4f76	0.65276003043067055	0.35279725444138749	0.54047006249543639	0.51397369704371565	0.013342694522100492	slope_t_statistic	documented_decoupler_v2_ulm_formula	0.73489221594847054	False	not_significant
GZMB CD8 T cell:NBM-NDMM	exploratory_lodo_conserved_features	GZMB CD8 T cell	NBM	NDMM	NBM − NDMM	group_a_minus_group_b	signed_statistic	condition_a_minus_condition_b	full_unadjusted_DESeq2_log2FoldChange	CAP-DESEQ-003	2564b7e31a39edfe2f0805880813067806936b0c00ec9e8f96eda914cd590f04	DoRothEA	human	SP3	2395	77	14	1	0	0.0058137689387002655	2393	True	estimable		BPI;CCND1;CD14;CD83;CDKN1A;CDKN2B;COL1A1;CYP27A1;IGFBP3;MYC;OPRM1;PLAUR;TIMP1;TNF	2e9de16bb6dc217df06bc044e75103eb9cbf46844ba9ae64ba298996355f4f76	0.6397839153762126	0.29270792447009603	0.45751060230699109	0.52237433530721811	0.013077502995355404	slope_t_statistic	documented_decoupler_v2_ulm_formula	0.74040884047892652	False	not_significant
