program_id	feature_set_id	cell_state	condition_a	condition_b	contrast	contrast_direction	feature_direction	statistic_orientation	signed_statistic_name	tf	source_capability_id	source_cache_key	number_of_estimable_resources	estimable_resources	number_of_significant_supporting_resources	supporting_resources	resource_activity_scores	resource_directions	minimum_adjusted_p_value	median_consensus_activity_score	mean_consensus_activity_score	minimum_absolute_supporting_score	strongest_absolute_activity_score	consensus_direction	directional_consensus_status	consensus_threshold_used	directional_discordance_status	any_resource_discordance_status	resource_discordance_reasons
GZMB CD8 T cell:NBM-NDMM	exploratory_lodo_conserved_features	GZMB CD8 T cell	NBM	NDMM	NBM − NDMM	group_a_minus_group_b	signed_statistic	condition_a_minus_condition_b	full_unadjusted_DESeq2_log2FoldChange	CEBPG	CAP-DESEQ-003	2564b7e31a39edfe2f0805880813067806936b0c00ec9e8f96eda914cd590f04	2	CollecTRI;DoRothEA	0		"{""CollecTRI"":2.603048976133443,""DoRothEA"":1.7726375789344158}"	"{""CollecTRI"":""not_significant"",""DoRothEA"":""not_significant""}"	0.14452515650087813					unresolved	False	2	False	True	inconsistent_target_overlap;major_regulon_coverage_difference
GZMB CD8 T cell:NBM-NDMM	exploratory_lodo_conserved_features	GZMB CD8 T cell	NBM	NDMM	NBM − NDMM	group_a_minus_group_b	signed_statistic	condition_a_minus_condition_b	full_unadjusted_DESeq2_log2FoldChange	GATA2	CAP-DESEQ-003	2564b7e31a39edfe2f0805880813067806936b0c00ec9e8f96eda914cd590f04	2	CollecTRI;DoRothEA	0		"{""CollecTRI"":2.605629506341735,""DoRothEA"":0.5646112054091977}"	"{""CollecTRI"":""not_significant"",""DoRothEA"":""not_significant""}"	0.14452515650087813					unresolved	False	2	False	True	inconsistent_target_overlap;major_regulon_coverage_difference
GZMB CD8 T cell:NBM-NDMM	exploratory_lodo_conserved_features	GZMB CD8 T cell	NBM	NDMM	NBM − NDMM	group_a_minus_group_b	signed_statistic	condition_a_minus_condition_b	full_unadjusted_DESeq2_log2FoldChange	NFE2	CAP-DESEQ-003	2564b7e31a39edfe2f0805880813067806936b0c00ec9e8f96eda914cd590f04	2	CollecTRI;DoRothEA	0		"{""CollecTRI"":2.5686148905217707,""DoRothEA"":1.7455888850954577}"	"{""CollecTRI"":""not_significant"",""DoRothEA"":""not_significant""}"	0.15272120248383278					unresolved	False	2	False	True	inconsistent_target_overlap
GZMB CD8 T cell:NBM-NDMM	exploratory_lodo_conserved_features	GZMB CD8 T cell	NBM	NDMM	NBM − NDMM	group_a_minus_group_b	signed_statistic	condition_a_minus_condition_b	full_unadjusted_DESeq2_log2FoldChange	CEBPA	CAP-DESEQ-003	2564b7e31a39edfe2f0805880813067806936b0c00ec9e8f96eda914cd590f04	2	CollecTRI;DoRothEA	0		"{""CollecTRI"":2.5104236437738385,""DoRothEA"":2.5095350663215696}"	"{""CollecTRI"":""not_significant"",""DoRothEA"":""not_significant""}"	0.17276864900110814					unresolved	False	2	False	True	inconsistent_target_overlap
GZMB CD8 T cell:NBM-NDMM	exploratory_lodo_conserved_features	GZMB CD8 T cell	NBM	NDMM	NBM − NDMM	group_a_minus_group_b	signed_statistic	condition_a_minus_condition_b	full_unadjusted_DESeq2_log2FoldChange	TFCP2	CAP-DESEQ-003	2564b7e31a39edfe2f0805880813067806936b0c00ec9e8f96eda914cd590f04	1	CollecTRI	0		"{""CollecTRI"":2.468710844687077}"	"{""CollecTRI"":""not_significant""}"	0.18645114362577803					unresolved	False	2	False	False	
GZMB CD8 T cell:NBM-NDMM	exploratory_lodo_conserved_features	GZMB CD8 T cell	NBM	NDMM	NBM − NDMM	group_a_minus_group_b	signed_statistic	condition_a_minus_condition_b	full_unadjusted_DESeq2_log2FoldChange	ESR1	CAP-DESEQ-003	2564b7e31a39edfe2f0805880813067806936b0c00ec9e8f96eda914cd590f04	2	CollecTRI;DoRothEA	0		"{""CollecTRI"":2.39955637776751,""DoRothEA"":1.9401224164982291}"	"{""CollecTRI"":""not_significant"",""DoRothEA"":""not_significant""}"	0.20142541981844847					unresolved	False	2	False	True	inconsistent_target_overlap;major_regulon_coverage_difference
GZMB CD8 T cell:NBM-NDMM	exploratory_lodo_conserved_features	GZMB CD8 T cell	NBM	NDMM	NBM − NDMM	group_a_minus_group_b	signed_statistic	condition_a_minus_condition_b	full_unadjusted_DESeq2_log2FoldChange	NFKB1	CAP-DESEQ-003	2564b7e31a39edfe2f0805880813067806936b0c00ec9e8f96eda914cd590f04	2	CollecTRI;DoRothEA	0		"{""CollecTRI"":2.4119098788122573,""DoRothEA"":1.6572925460997903}"	"{""CollecTRI"":""not_significant"",""DoRothEA"":""not_significant""}"	0.20142541981844847					unresolved	False	2	False	True	inconsistent_target_overlap;major_regulon_coverage_difference
GZMB CD8 T cell:NBM-NDMM	exploratory_lodo_conserved_features	GZMB CD8 T cell	NBM	NDMM	NBM − NDMM	group_a_minus_group_b	signed_statistic	condition_a_minus_condition_b	full_unadjusted_DESeq2_log2FoldChange	TCF4	CAP-DESEQ-003	2564b7e31a39edfe2f0805880813067806936b0c00ec9e8f96eda914cd590f04	2	CollecTRI;DoRothEA	0		"{""CollecTRI"":2.4057224807182696,""DoRothEA"":1.3763505357711237}"	"{""CollecTRI"":""not_significant"",""DoRothEA"":""not_significant""}"	0.20142541981844847					unresolved	False	2	False	True	inconsistent_target_overlap
GZMB CD8 T cell:NBM-NDMM	exploratory_lodo_conserved_features	GZMB CD8 T cell	NBM	NDMM	NBM − NDMM	group_a_minus_group_b	signed_statistic	condition_a_minus_condition_b	full_unadjusted_DESeq2_log2FoldChange	FLI1	CAP-DESEQ-003	2564b7e31a39edfe2f0805880813067806936b0c00ec9e8f96eda914cd590f04	2	CollecTRI;DoRothEA	0		"{""CollecTRI"":2.360364217943233,""DoRothEA"":2.5974504772571363}"	"{""CollecTRI"":""not_significant"",""DoRothEA"":""not_significant""}"	0.21624795930213389					unresolved	False	2	False	True	inconsistent_target_overlap;major_regulon_coverage_difference
GZMB CD8 T cell:NBM-NDMM	exploratory_lodo_conserved_features	GZMB CD8 T cell	NBM	NDMM	NBM − NDMM	group_a_minus_group_b	signed_statistic	condition_a_minus_condition_b	full_unadjusted_DESeq2_log2FoldChange	MYB	CAP-DESEQ-003	2564b7e31a39edfe2f0805880813067806936b0c00ec9e8f96eda914cd590f04	2	CollecTRI;DoRothEA	0		"{""CollecTRI"":2.32428734708863,""DoRothEA"":1.9929811936915236}"	"{""CollecTRI"":""not_significant"",""DoRothEA"":""not_significant""}"	0.23020496920762218					unresolved	False	2	False	True	inconsistent_target_overlap;major_regulon_coverage_difference
