program_id	feature_set_id	feature_id	feature_type	cell_state	condition_a	condition_b	contrast	contrast_direction	feature_direction	signed_statistic	signed_statistic_name	statistic_orientation	source_capability_id	source_capability_version	source_cache_key	source_artifact_path	source_artifact_hash	upstream_analysis_method	upstream_analysis_parameters	upstream_provenance
GZMB CD8 T cell:NBM-NDMM	exploratory_lodo_conserved_features	AC004846.2	gene	GZMB CD8 T cell	NBM	NDMM	NBM − NDMM	group_a_minus_group_b	signed_statistic	-1.1441454027783999	full_unadjusted_DESeq2_log2FoldChange	condition_a_minus_condition_b	CAP-DESEQ-003	1.1.1	2564b7e31a39edfe2f0805880813067806936b0c00ec9e8f96eda914cd590f04	demo_evidence/gzmb_cd8_nbm_vs_ndmm/artifacts/deseq2/conserved_features.csv	deb912155a34c2fb81f6a9c535a400b369fc9a4872507f0faef6f68e37d09847	exploratory_unadjusted_DESeq2_dataset_LODO	"{""design_formula"": ""~ group""}"	demo_evidence/gzmb_cd8_nbm_vs_ndmm/artifacts/deseq2/provenance.json
GZMB CD8 T cell:NBM-NDMM	exploratory_lodo_conserved_features	AC004884.2	gene	GZMB CD8 T cell	NBM	NDMM	NBM − NDMM	group_a_minus_group_b	signed_statistic	-2.7391528473826998	full_unadjusted_DESeq2_log2FoldChange	condition_a_minus_condition_b	CAP-DESEQ-003	1.1.1	2564b7e31a39edfe2f0805880813067806936b0c00ec9e8f96eda914cd590f04	demo_evidence/gzmb_cd8_nbm_vs_ndmm/artifacts/deseq2/conserved_features.csv	deb912155a34c2fb81f6a9c535a400b369fc9a4872507f0faef6f68e37d09847	exploratory_unadjusted_DESeq2_dataset_LODO	"{""design_formula"": ""~ group""}"	demo_evidence/gzmb_cd8_nbm_vs_ndmm/artifacts/deseq2/provenance.json
GZMB CD8 T cell:NBM-NDMM	exploratory_lodo_conserved_features	AC004889.1	gene	GZMB CD8 T cell	NBM	NDMM	NBM − NDMM	group_a_minus_group_b	signed_statistic	-2.0321459786067102	full_unadjusted_DESeq2_log2FoldChange	condition_a_minus_condition_b	CAP-DESEQ-003	1.1.1	2564b7e31a39edfe2f0805880813067806936b0c00ec9e8f96eda914cd590f04	demo_evidence/gzmb_cd8_nbm_vs_ndmm/artifacts/deseq2/conserved_features.csv	deb912155a34c2fb81f6a9c535a400b369fc9a4872507f0faef6f68e37d09847	exploratory_unadjusted_DESeq2_dataset_LODO	"{""design_formula"": ""~ group""}"	demo_evidence/gzmb_cd8_nbm_vs_ndmm/artifacts/deseq2/provenance.json
GZMB CD8 T cell:NBM-NDMM	exploratory_lodo_conserved_features	AC004922.1	gene	GZMB CD8 T cell	NBM	NDMM	NBM − NDMM	group_a_minus_group_b	signed_statistic	3.4860433357557801	full_unadjusted_DESeq2_log2FoldChange	condition_a_minus_condition_b	CAP-DESEQ-003	1.1.1	2564b7e31a39edfe2f0805880813067806936b0c00ec9e8f96eda914cd590f04	demo_evidence/gzmb_cd8_nbm_vs_ndmm/artifacts/deseq2/conserved_features.csv	deb912155a34c2fb81f6a9c535a400b369fc9a4872507f0faef6f68e37d09847	exploratory_unadjusted_DESeq2_dataset_LODO	"{""design_formula"": ""~ group""}"	demo_evidence/gzmb_cd8_nbm_vs_ndmm/artifacts/deseq2/provenance.json
GZMB CD8 T cell:NBM-NDMM	exploratory_lodo_conserved_features	AC005224.2	gene	GZMB CD8 T cell	NBM	NDMM	NBM − NDMM	group_a_minus_group_b	signed_statistic	-3.58393720920883	full_unadjusted_DESeq2_log2FoldChange	condition_a_minus_condition_b	CAP-DESEQ-003	1.1.1	2564b7e31a39edfe2f0805880813067806936b0c00ec9e8f96eda914cd590f04	demo_evidence/gzmb_cd8_nbm_vs_ndmm/artifacts/deseq2/conserved_features.csv	deb912155a34c2fb81f6a9c535a400b369fc9a4872507f0faef6f68e37d09847	exploratory_unadjusted_DESeq2_dataset_LODO	"{""design_formula"": ""~ group""}"	demo_evidence/gzmb_cd8_nbm_vs_ndmm/artifacts/deseq2/provenance.json
GZMB CD8 T cell:NBM-NDMM	exploratory_lodo_conserved_features	AC005261.3	gene	GZMB CD8 T cell	NBM	NDMM	NBM − NDMM	group_a_minus_group_b	signed_statistic	3.4846669525167102	full_unadjusted_DESeq2_log2FoldChange	condition_a_minus_condition_b	CAP-DESEQ-003	1.1.1	2564b7e31a39edfe2f0805880813067806936b0c00ec9e8f96eda914cd590f04	demo_evidence/gzmb_cd8_nbm_vs_ndmm/artifacts/deseq2/conserved_features.csv	deb912155a34c2fb81f6a9c535a400b369fc9a4872507f0faef6f68e37d09847	exploratory_unadjusted_DESeq2_dataset_LODO	"{""design_formula"": ""~ group""}"	demo_evidence/gzmb_cd8_nbm_vs_ndmm/artifacts/deseq2/provenance.json
GZMB CD8 T cell:NBM-NDMM	exploratory_lodo_conserved_features	AC005332.3	gene	GZMB CD8 T cell	NBM	NDMM	NBM − NDMM	group_a_minus_group_b	signed_statistic	-2.0926112877185199	full_unadjusted_DESeq2_log2FoldChange	condition_a_minus_condition_b	CAP-DESEQ-003	1.1.1	2564b7e31a39edfe2f0805880813067806936b0c00ec9e8f96eda914cd590f04	demo_evidence/gzmb_cd8_nbm_vs_ndmm/artifacts/deseq2/conserved_features.csv	deb912155a34c2fb81f6a9c535a400b369fc9a4872507f0faef6f68e37d09847	exploratory_unadjusted_DESeq2_dataset_LODO	"{""design_formula"": ""~ group""}"	demo_evidence/gzmb_cd8_nbm_vs_ndmm/artifacts/deseq2/provenance.json
GZMB CD8 T cell:NBM-NDMM	exploratory_lodo_conserved_features	AC005332.5	gene	GZMB CD8 T cell	NBM	NDMM	NBM − NDMM	group_a_minus_group_b	signed_statistic	2.3966289445230702	full_unadjusted_DESeq2_log2FoldChange	condition_a_minus_condition_b	CAP-DESEQ-003	1.1.1	2564b7e31a39edfe2f0805880813067806936b0c00ec9e8f96eda914cd590f04	demo_evidence/gzmb_cd8_nbm_vs_ndmm/artifacts/deseq2/conserved_features.csv	deb912155a34c2fb81f6a9c535a400b369fc9a4872507f0faef6f68e37d09847	exploratory_unadjusted_DESeq2_dataset_LODO	"{""design_formula"": ""~ group""}"	demo_evidence/gzmb_cd8_nbm_vs_ndmm/artifacts/deseq2/provenance.json
GZMB CD8 T cell:NBM-NDMM	exploratory_lodo_conserved_features	AC005534.1	gene	GZMB CD8 T cell	NBM	NDMM	NBM − NDMM	group_a_minus_group_b	signed_statistic	-1.84635048248405	full_unadjusted_DESeq2_log2FoldChange	condition_a_minus_condition_b	CAP-DESEQ-003	1.1.1	2564b7e31a39edfe2f0805880813067806936b0c00ec9e8f96eda914cd590f04	demo_evidence/gzmb_cd8_nbm_vs_ndmm/artifacts/deseq2/conserved_features.csv	deb912155a34c2fb81f6a9c535a400b369fc9a4872507f0faef6f68e37d09847	exploratory_unadjusted_DESeq2_dataset_LODO	"{""design_formula"": ""~ group""}"	demo_evidence/gzmb_cd8_nbm_vs_ndmm/artifacts/deseq2/provenance.json
GZMB CD8 T cell:NBM-NDMM	exploratory_lodo_conserved_features	AC005695.2	gene	GZMB CD8 T cell	NBM	NDMM	NBM − NDMM	group_a_minus_group_b	signed_statistic	3.3791074169892998	full_unadjusted_DESeq2_log2FoldChange	condition_a_minus_condition_b	CAP-DESEQ-003	1.1.1	2564b7e31a39edfe2f0805880813067806936b0c00ec9e8f96eda914cd590f04	demo_evidence/gzmb_cd8_nbm_vs_ndmm/artifacts/deseq2/conserved_features.csv	deb912155a34c2fb81f6a9c535a400b369fc9a4872507f0faef6f68e37d09847	exploratory_unadjusted_DESeq2_dataset_LODO	"{""design_formula"": ""~ group""}"	demo_evidence/gzmb_cd8_nbm_vs_ndmm/artifacts/deseq2/provenance.json
